time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563177180.336154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3431509,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.34515,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3481529,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.352151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3591518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3631508,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.366153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3761668,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.377152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.379161,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3851519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.396152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.400156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.401152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4021518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.403154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.404156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4091668,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.413154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.414152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4151518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.416153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.417152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4181569,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.419152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.420153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4481568,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.451153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.454155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.458153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.464151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.465152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.4671519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
