time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563180847.359283,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.360288,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3622909,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3642828,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.365283,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.366287,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.368285,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3692799,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3712819,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.372283,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.373286,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.375285,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.37728,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.379283,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.381284,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.383281,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.384279,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.38528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3862798,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.38728,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3882809,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.389282,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.39028,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.391281,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3922799,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.39328,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3952808,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.396286,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3972828,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3982809,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.399288,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.400282,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.402288,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.404289,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.406286,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.408808,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.409831,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.411814,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.413807,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.414815,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4158049,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4168038,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.418185,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.418805,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4198048,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4208028,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4218068,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.422806,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4238088,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.424804,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.425804,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.429812,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.430821,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.432806,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.433804,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.434805,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.435813,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4378068,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.438807,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.439805,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.440805,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.442806,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.443804,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4468029,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.448804,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.449806,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.4538069,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.454804,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.455803,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.459101,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
